fault_type,mean_ar_early_to_late_decay_fraction,mean_ar_initial_to_late_decay_fraction,mean_ar_initial_to_late_retention_ratio,mean_ar_late_to_early_shift_ratio,mean_ar_score_minus_raw_score,mean_raw_late_to_early_shift_ratio,mean_raw_shift_abs,mean_raw_shift_sign_consistency,mean_signal_retention_ratio,mean_sum_phi,median_ar_early_to_late_decay_fraction,median_ar_initial_to_late_decay_fraction,median_ar_initial_to_late_retention_ratio,median_ar_late_to_early_shift_ratio,median_ar_score_minus_raw_score,median_raw_late_to_early_shift_ratio,median_raw_shift_abs,median_raw_shift_sign_consistency,median_signal_retention_ratio,median_sum_phi,n_ar_early_to_late_decay_fraction,n_ar_initial_to_late_decay_fraction,n_ar_initial_to_late_retention_ratio,n_ar_late_to_early_shift_ratio,n_ar_score_minus_raw_score,n_cases,n_raw_late_to_early_shift_ratio,n_raw_shift_abs,n_raw_shift_sign_consistency,n_root_metrics,n_service_top3_union_metrics,n_signal_retention_ratio,n_sum_phi
cpu,0.0025957185572874045,-486.26995486096786,487.26995486096786,0.9974042814427125,-407.2284435340162,1.0021530515323729,1321945.49292669,0.9714367504090495,0.6358392487635368,0.359845303599555,0.0,-61.82341801086697,62.82341801086697,1.0,-92.79885504813683,1.0,2162688.0,0.9771309771309772,0.9154292792947197,0.0897100232156291,75,33,33,75,75,75,75,75,75,1417,256,75,75
mem,-0.00966282372451004,-1220.7577994864366,1221.7577994864366,1.00966282372451,-399.0923134312823,1.009725047735508,20473110.25603031,0.9779650804489196,0.6170437606693491,0.3890336796021854,0.0,-255.4537501828471,256.4537501828471,1.0,-92.92285699626336,1.0,2162688.0,0.9812889812889813,0.6130224938150621,0.3872445042840851,75,23,23,75,75,75,75,75,75,1528,241,75,75
disk,-0.014044291132151662,-39491.25637280335,39492.25637280335,1.0140442911321517,-525.0009697492989,1.0149896162925856,399362.5495667038,0.9770338309223352,0.39828024563923026,0.6039727260601693,-0.006211875430713887,-80.59533458011151,81.59533458011151,1.0062118754307139,-412.32080160822943,1.0045966620036435,3200.3812017481373,0.9806094182825484,0.17315760958824253,0.8268703236631999,75,22,22,75,75,75,75,75,75,1629,250,75,75
delay,-0.008847578756357777,-6181.818444167796,6182.818444167796,1.0088475787563578,-147.12656754347617,1.0633158194081431,33864.59505501289,0.9607503220245602,0.5095984860444289,0.45030122591718114,-0.001374642937850834,-1909.5531182086804,1910.5531182086804,1.0013746429378507,-27.75468440513707,1.0006741023081727,1.1132193884806898,0.9854469854469855,0.5098272433729867,0.47876570462158546,74,37,37,74,75,75,75,75,75,1422,257,75,75
loss,-0.12006226974218404,-1479.430087694192,1480.430087694192,1.120062269742184,-119.12272131200706,1.1400997795915846,147375.70822611343,0.9353137027929271,0.4763553148680826,0.535413128256248,-0.025093438442183147,-3.29731208136476,4.29731208136476,1.025093438442183,-37.514278742241004,1.0251999705996002,0.8296083856591069,0.9833795013850416,0.5051586014554426,0.6392453745048148,72,39,39,72,75,75,74,75,75,1468,273,74,75
