mean_ar_early_to_late_decay_fraction,mean_ar_initial_to_late_decay_fraction,mean_ar_initial_to_late_retention_ratio,mean_ar_late_to_early_shift_ratio,mean_ar_score_minus_raw_score,mean_raw_late_to_early_shift_ratio,mean_raw_shift_abs,mean_raw_shift_sign_consistency,mean_signal_retention_ratio,mean_sum_phi,median_ar_early_to_late_decay_fraction,median_ar_initial_to_late_decay_fraction,median_ar_initial_to_late_retention_ratio,median_ar_late_to_early_shift_ratio,median_ar_score_minus_raw_score,median_raw_late_to_early_shift_ratio,median_raw_shift_abs,median_raw_shift_sign_consistency,median_signal_retention_ratio,median_sum_phi,movement,n_ar_early_to_late_decay_fraction,n_ar_initial_to_late_decay_fraction,n_ar_initial_to_late_retention_ratio,n_ar_late_to_early_shift_ratio,n_ar_score_minus_raw_score,n_cases,n_raw_late_to_early_shift_ratio,n_raw_shift_abs,n_raw_shift_sign_consistency,n_root_metrics,n_service_top3_union_metrics,n_signal_retention_ratio,n_sum_phi
-0.07276185074673311,-1560.9619595371596,1561.9619595371596,1.072761850746733,-42.447089390048376,1.1502827603027128,56369.935331908964,0.9322421888211362,0.48966204376591993,0.5018405499658267,-0.016364757357415605,-345.7227214030132,346.7227214030132,1.0163647573574157,-22.65522981316508,1.0250568703267064,1.093603853691901,0.9802494802494803,0.5387080466742926,0.46831500922020786,improved,42,24,24,42,44,44,43,44,44,734,158,43,44
-0.02535416973593024,-5968.439737336172,5969.439737336172,1.0253541697359303,-291.38913457423,1.0313166787779038,6050348.190641444,0.9694383920192319,0.6237099455743759,0.3742860466763014,0.0,-184.14559750486606,185.14559750486606,1.0,-92.76204346577833,1.0,1232.8059716911648,0.9812889812889813,0.8057924683299666,0.13278251326717538,same,273,101,101,273,274,274,274,274,274,5801,910,274,274
-0.016158444689090234,-19278.673567403806,19279.673567403806,1.0161584446890903,-668.5882694957002,1.036635440951942,314012.5218421449,0.9656614170778043,0.0939549283274638,0.8904753292955694,-0.0047174825819383814,-8.298701298700525,9.298701298700525,1.0047174825819383,-734.0950769937435,1.007221950324387,80.09527424673979,0.9833333333333333,0.06070172792235149,0.9400438796429992,worsened,56,29,29,56,57,57,57,57,57,929,209,57,57
