ar_abnormal_residual_median,ar_early_residual_shift,ar_early_to_late_decay_fraction,ar_half_late_residual_shift,ar_initial_residual_shift,ar_initial_to_late_decay_fraction,ar_initial_to_late_retention_ratio,ar_initial_window_points,ar_late_residual_shift,ar_late_to_early_shift_ratio,ar_metric_rank,ar_metric_score,ar_normal_residual_median,ar_rank,ar_residual_shift,ar_residual_shift_abs,ar_score_minus_raw_score,ar_service_top3,case_id,dataset,fault_type,metric,movement,rank_delta,raw_abnormal_median,raw_early_shift,raw_late_shift,raw_late_to_early_shift_ratio,raw_metric_rank,raw_metric_score,raw_normal_median,raw_rank,raw_service_top3,raw_shift,raw_shift_abs,raw_shift_sign_consistency,root_cause_service,signal_retention_ratio,sum_phi
20.511306617434926,20.502663459323536,7.830280945420043e-06,20.50250291770852,-0.07715717789011967,-264.72385717510747,265.72385717510747,3,20.50250291770852,0.9999921697190546,2,3168.437333849187,0.008803699726406933,2,20.50250291770852,20.50250291770852,-883.4015543413989,True,re1_ob__adservice_cpu__1,re1_ob,cpu,adservice_cpu,same,0,100.00037124836784,98.3224741705082,98.32162579701163,0.9999913715200546,2,4051.8388881905857,1.6786930404677578,2,True,98.32167820790008,98.32167820790008,0.9966666666666667,adservice,0.20852474542141367,0.7914434600568201
1.7808858047876908e-05,2.1112933123775945e-05,,2.1977963984297615e-05,-6.931737731753936e-05,,,3,2.1975625671396236e-05,,16,15.314024218618442,-4.128607118037211e-06,2,2.193746516591412e-05,2.193746516591412e-05,-0.7539592894006546,True,re1_ob__adservice_cpu__1,re1_ob,cpu,adservice_latency,same,0,0.0047121059284517,2.1315025159299172e-05,2.214004641749954e-05,,24,16.067983508019097,0.004690041256698601,2,True,2.2064671753099785e-05,2.2064671753099785e-05,0.6416666666666667,adservice,,0.007706644494272225
0.1750896021974846,1.8563280922796963,,-1.192476010719286,-13.586778214075842,,,3,0.1677080100362005,,29,-7.050562696157613,0.02117320259613109,2,0.1539163996013535,0.1539163996013535,0.49807599057953666,False,re1_ob__adservice_cpu__1,re1_ob,cpu,adservice_load,same,0,58.0,2.0,-0.14150000000000063,,36,-7.548638686737149,58.0,2,False,0.0,0.0,,adservice,,-0.09609853226370813
68608.09979777038,72762.65012203157,,63907.39222718775,-6478.885598704219,,,3,67488.56269936264,,4,516.932810364445,1119.5370984077454,2,67488.56269936264,67488.56269936264,-1736.3825497667387,True,re1_ob__adservice_cpu__1,re1_ob,cpu,adservice_mem,same,0,98836480.0,4579328.0,4022272.0,0.8783542039355993,3,2253.3153601311838,94588928.0,2,True,4247552.0,4247552.0,0.9966666666666667,adservice,0.015888813768345306,0.9841034691398328
28.999134947547994,28.989430262674556,-4.389594883247305e-05,28.99070278122205,0.001195768125829888,,,3,28.99068177160377,1.0000438959488325,1,3539.96839926341,0.00845630909742856,1,28.990678638450564,28.990678638450564,-634.3839886235019,True,re1_ob__adservice_cpu__2,re1_ob,cpu,adservice_cpu,same,0,99.99806537833511,98.35934119422154,98.36405824705993,1.000047957344784,1,4174.352387886912,1.6341219950712145,1,True,98.3639433832639,98.3639433832639,1.0,adservice,0.2947287150281449,0.7052629646133685
6.50692395503011e-05,0.0001493018823011203,0.507649080370076,7.350891905343526e-05,5.196004241520523e-05,-0.9450208575968075,1.9450208575968075,3,0.00010106336625918897,0.492350919629924,11,179.06434418332788,-3.274575322086484e-05,1,9.781499277116594e-05,9.781499277116594e-05,0.9200338823800394,True,re1_ob__adservice_cpu__2,re1_ob,cpu,adservice_latency,same,0,0.0047273217993079,0.00015029749060830027,7.394303893145e-05,0.4919778675756976,11,178.14431030094784,0.0046289156626506,1,True,9.840613665729973e-05,9.840613665729973e-05,0.9533333333333334,adservice,0.9939928148160877,0.006673244228644225
-0.3061411160063088,1.0512908494040296,,-0.9259538324703271,-8.381593241462085,,,3,0.3413355618088545,,35,-8.965883580063064,-0.6434834143017056,1,0.33734229829539686,0.33734229829539686,-0.43237380229743394,False,re1_ob__adservice_cpu__2,re1_ob,cpu,adservice_load,same,0,60.0,0.0,-2.0,,44,-8.53350977776563,60.0,1,False,0.0,0.0,,adservice,,-0.1657050839902807
54690.41593134403,54457.99169279635,,53688.26742859185,2934.57375729084,,,3,54457.99169279635,,6,644.6454909625506,232.42423854768276,1,54457.99169279635,54457.99169279635,-1515.089905317571,True,re1_ob__adservice_cpu__2,re1_ob,cpu,adservice_mem,same,0,99794944.0,4677632.0,4612096.0,0.9859894921190894,3,2159.7353962801217,95117312.0,1,True,4677632.0,4677632.0,1.0,adservice,0.011642213772437923,0.9882549398161432
16.62071771496366,16.62196924170348,3.990095542028005e-05,16.621306009249768,0.03103870925346608,-534.5140876165524,535.5140876165524,3,16.62166606666533,0.9999600990445797,1,3206.1741427230545,-0.0009483517016708465,2,16.62166606666533,16.62166606666533,-975.9258732173339,True,re1_ob__adservice_cpu__3,re1_ob,cpu,adservice_cpu,worsened,-1,99.99528961516025,98.36590114244761,98.36119858746808,0.9999521932404938,1,4182.100015940388,1.6323140291608953,1,True,98.36297558599935,98.36297558599935,1.0,adservice,0.16898295286047854,0.8310099038015993
2.8424295295665508e-05,3.239533506792453e-05,,5.601612059180725e-05,-1.7429352506200674e-05,,,3,3.769890777547899e-05,,11,125.44599136032684,-9.239854929306464e-06,2,3.766415022497197e-05,3.766415022497197e-05,-0.03979187484355862,True,re1_ob__adservice_cpu__3,re1_ob,cpu,adservice_latency,worsened,-1,0.0047133371493989,3.261742724700034e-05,5.644348462635097e-05,,14,125.4857832351704,0.0046754033459786,1,True,3.793380342030032e-05,3.793380342030032e-05,0.8616666666666667,adservice,,0.0068669979052159505
