dataset,mean_ar_early_to_late_decay_fraction,mean_ar_initial_to_late_decay_fraction,mean_ar_initial_to_late_retention_ratio,mean_ar_late_to_early_shift_ratio,mean_ar_score_minus_raw_score,mean_raw_late_to_early_shift_ratio,mean_raw_shift_abs,mean_raw_shift_sign_consistency,mean_signal_retention_ratio,mean_sum_phi,median_ar_early_to_late_decay_fraction,median_ar_initial_to_late_decay_fraction,median_ar_initial_to_late_retention_ratio,median_ar_late_to_early_shift_ratio,median_ar_score_minus_raw_score,median_raw_late_to_early_shift_ratio,median_raw_shift_abs,median_raw_shift_sign_consistency,median_signal_retention_ratio,median_sum_phi,n_ar_early_to_late_decay_fraction,n_ar_initial_to_late_decay_fraction,n_ar_initial_to_late_retention_ratio,n_ar_late_to_early_shift_ratio,n_ar_score_minus_raw_score,n_cases,n_raw_late_to_early_shift_ratio,n_raw_shift_abs,n_raw_shift_sign_consistency,n_root_metrics,n_service_top3_union_metrics,n_signal_retention_ratio,n_sum_phi
re1_ob,-0.03669512370129109,-467.1098561728072,468.1098561728072,1.0366951237012911,-481.64392209606996,1.0580006247647462,38.33093728635206,0.9379860387811634,0.22829558237897113,0.7677814616967957,-0.0040398231052902744,-19.266314600665346,20.266314600665346,1.0040398231052903,-395.9309626871204,1.0045755071129676,22.08987492333776,0.9833333333333333,0.11080327170582456,0.8545775285579356,123,83,83,123,125,125,125,125,125,511,404,125,125
re1_ss,-0.006640664852565702,-8762.834705314193,8763.834705314193,1.0066406648525656,-100.51830290388942,1.0069022752883647,906031.5850987037,0.9749011134939783,0.8760084460290298,0.11406888877876079,0.0,-5458.1902641077595,5459.1902641077595,1.0,-73.32556087793091,1.0,3993.7505368954553,0.9778393351800554,1.0,0.0,125,25,25,125,125,125,125,125,125,3925,412,125,125
re1_tt,-0.045032322357977904,-20467.740179551256,20468.740179551256,1.045032322357978,-376.38038434208903,1.072728115369227,12519325.245046906,0.9806126596835333,0.4779791962337005,0.5212892875856466,-0.0012129924521495639,-529.2375160038043,530.2375160038043,1.0012129924521496,-92.93007930309068,1.0009190814538353,1106754.7225201044,0.9833679833679834,0.5124859503511754,0.48752298017453577,123,46,46,123,125,125,124,125,125,3028,461,124,125
